[static_depth_prune,static_breadth_prune,dynamic_depth_breadth_prune,static_children_half_prune,dynamic_children_depth_prune,static_price_prune];4;2
[static_depth_prune,static_breadth_prune,dynamic_depth_breadth_prune,static_children_half_prune,dynamic_children_depth_prune];4;2
[static_depth_prune,static_breadth_prune,dynamic_depth_breadth_prune,static_children_half_prune,static_price_prune];4;2
[static_depth_prune,static_breadth_prune,dynamic_depth_breadth_prune,dynamic_children_depth_prune,static_price_prune];64;17
[static_depth_prune,static_breadth_prune,static_children_half_prune,dynamic_children_depth_prune,static_price_prune];31;8
[static_depth_prune,dynamic_depth_breadth_prune,static_children_half_prune,dynamic_children_depth_prune,static_price_prune];4;2
[static_breadth_prune,dynamic_depth_breadth_prune,static_children_half_prune,dynamic_children_depth_prune,static_price_prune];4;2
[static_depth_prune,static_breadth_prune,dynamic_depth_breadth_prune,static_children_half_prune];4;2
[static_depth_prune,static_breadth_prune,dynamic_depth_breadth_prune,dynamic_children_depth_prune];81;20
[static_depth_prune,static_breadth_prune,dynamic_depth_breadth_prune,static_price_prune];64;17
[static_depth_prune,static_breadth_prune,static_children_half_prune,dynamic_children_depth_prune];31;8
[static_depth_prune,static_breadth_prune,static_children_half_prune,static_price_prune];31;8
[static_depth_prune,static_breadth_prune,dynamic_children_depth_prune,static_price_prune];77;20
[static_depth_prune,dynamic_depth_breadth_prune,static_children_half_prune,dynamic_children_depth_prune];4;2
[static_depth_prune,dynamic_depth_breadth_prune,static_children_half_prune,static_price_prune];4;2
[static_depth_prune,dynamic_depth_breadth_prune,dynamic_children_depth_prune,static_price_prune];64;17
[static_depth_prune,static_children_half_prune,dynamic_children_depth_prune,static_price_prune];31;8
[static_breadth_prune,dynamic_depth_breadth_prune,static_children_half_prune,dynamic_children_depth_prune];4;2
[static_breadth_prune,dynamic_depth_breadth_prune,static_children_half_prune,static_price_prune];4;2
[static_breadth_prune,dynamic_depth_breadth_prune,dynamic_children_depth_prune,static_price_prune];64;17
[static_breadth_prune,static_children_half_prune,dynamic_children_depth_prune,static_price_prune];31;8
[dynamic_depth_breadth_prune,static_children_half_prune,dynamic_children_depth_prune,static_price_prune];4;2
[static_depth_prune,static_breadth_prune,dynamic_depth_breadth_prune];153;38
[static_depth_prune,static_breadth_prune,static_children_half_prune];31;8
[static_depth_prune,static_breadth_prune,dynamic_children_depth_prune];104;23
[static_depth_prune,static_breadth_prune,static_price_prune];118;29
[static_depth_prune,dynamic_depth_breadth_prune,static_children_half_prune];4;2
[static_depth_prune,dynamic_depth_breadth_prune,dynamic_children_depth_prune];81;20
[static_depth_prune,dynamic_depth_breadth_prune,static_price_prune];64;17
[static_depth_prune,static_children_half_prune,dynamic_children_depth_prune];31;8
[static_depth_prune,static_children_half_prune,static_price_prune];31;8
[static_depth_prune,dynamic_children_depth_prune,static_price_prune];77;20
[static_breadth_prune,dynamic_depth_breadth_prune,static_children_half_prune];4;2
[static_breadth_prune,dynamic_depth_breadth_prune,dynamic_children_depth_prune];81;20
[static_breadth_prune,dynamic_depth_breadth_prune,static_price_prune];64;17
[static_breadth_prune,static_children_half_prune,dynamic_children_depth_prune];31;8
[static_breadth_prune,static_children_half_prune,static_price_prune];31;8
[static_breadth_prune,dynamic_children_depth_prune,static_price_prune];77;20
[dynamic_depth_breadth_prune,static_children_half_prune,dynamic_children_depth_prune];4;2
[dynamic_depth_breadth_prune,static_children_half_prune,static_price_prune];4;2
[dynamic_depth_breadth_prune,dynamic_children_depth_prune,static_price_prune];64;17
[static_children_half_prune,dynamic_children_depth_prune,static_price_prune];31;8
[static_depth_prune,static_breadth_prune];197;44
[static_depth_prune,dynamic_depth_breadth_prune];177;43
[static_depth_prune,static_children_half_prune];31;8
[static_depth_prune,dynamic_children_depth_prune];104;23
[static_depth_prune,static_price_prune];151;36
[static_breadth_prune,dynamic_depth_breadth_prune];172;44
[static_breadth_prune,static_children_half_prune];31;8
[static_breadth_prune,dynamic_children_depth_prune];104;23
[static_breadth_prune,static_price_prune];118;29
[dynamic_depth_breadth_prune,static_children_half_prune];4;2
[dynamic_depth_breadth_prune,dynamic_children_depth_prune];81;20
[dynamic_depth_breadth_prune,static_price_prune];64;17
[static_children_half_prune,dynamic_children_depth_prune];31;8
[static_children_half_prune,static_price_prune];31;8
[dynamic_children_depth_prune,static_price_prune];77;20
[static_depth_prune];926;188
[static_breadth_prune];213;50
[dynamic_depth_breadth_prune];219;53
[static_children_half_prune];31;8
[dynamic_children_depth_prune];104;23
[static_price_prune];151;36
[];1375;275
